last_changed,state
1737098344952,3257.6
1737106785375,3257.7
1737110285550,3257.8
1737118710961,3257.9
1737127151370,3258.0
1737134406730,3258.1
1737139071956,3258.2
1737147597374,3258.3
1737156112793,3258.4
1737159562959,3258.5
1737167953378,3258.6
1737176483787,3258.7
1737185214219,3258.8
1737188644379,3258.9
1737197254805,3259.0
1737205915224,3259.1
1737214655650,3259.2
1737218785857,3259.3
1737226716238,3259.4
1737235236652,3259.5
1737243732074,3259.6
1737247127242,3259.7
1737255532651,3259.8
1737264073070,3259.9
1737267573243,3260.0
1737275928647,3260.1
1737284454066,3260.2
1737293089489,3260.3
1737296484660,3260.4
1737304925074,3260.5
1737313385490,3260.6
1737316890662,3260.7
1737325186064,3260.8
1737333701487,3260.9
1737337121649,3261.0
1737345427061,3261.1
1737353382451,3261.2
1737357337643,3261.3
1737365733055,3261.4
1737374278475,3261.5
1737377638641,3261.6
1737386039059,3261.7
1737394534471,3261.8
1737397879639,3261.9
1737406155045,3262.0
1737409585213,3262.1
1737417715615,3262.2
1737421345795,3262.3
1737429446194,3262.4
1737437476588,3262.5
1737441156770,3262.6
1737449552181,3262.7
1737453092357,3262.8
1737461447765,3262.9
1737469813191,3263.0
1737473178348,3263.1
1737481323750,3263.2
1737484883924,3263.3
1737492944326,3263.4
1737501264730,3263.5
1737504569892,3263.6
1737512830307,3263.7
1737516270467,3263.8
1737524555883,3263.9
1737529886142,3264.0
1737536421463,3264.1
1737544876880,3264.2
1737548472059,3264.3
1737556722460,3264.4
1737565037874,3264.5
1737568443033,3264.6
1737576568444,3264.7
1737580118618,3264.8
1737588209019,3264.9
1737592999253,3265.0
1737599859589,3265.1
1737608215002,3265.2
1737611710178,3265.3
1737620025592,3265.4
1737628571007,3265.5
1737631946171,3265.6
1737640336585,3265.7
1737648812000,3265.8
1737652142166,3265.9
1737660352568,3266.0
1737663797741,3266.1
1737671918140,3266.2
1737675558320,3266.3
1737683623718,3266.4
1737692019131,3266.5
1737695364295,3266.6
1737703739710,3266.7
1737708904960,3266.8
1737715700295,3266.9
1737724150711,3267.0
1737732741135,3267.1
1737736111301,3267.2
1737744541714,3267.3
1737748116885,3267.4
1737756267304,3267.5
1737764537713,3267.6
1737767932882,3267.7
1737776148290,3267.8
1737779703467,3267.9
1737787883877,3268.0
1737793439139,3268.1
1737799714450,3268.2
1737808134874,3268.3
1737811650038,3268.4
1737819850441,3268.5
1737828220857,3268.6
1737831551021,3268.7
1737839766426,3268.8
1737843171597,3268.9
1737851377003,3269.0
1737854727166,3269.1
1737862927572,3269.2
1737866457745,3269.3
1737874658151,3269.4
1737878218327,3269.5
1737886478732,3269.6
1737894979152,3269.7
1737898469321,3269.8
1737906779733,3269.9
1737915185147,3270.0
1737918470312,3270.1
1737926765721,3270.2
1737930205889,3270.3
1737938451298,3270.4
1737941851466,3270.5
1737950051871,3270.6
1737953482041,3270.7
1737961682445,3270.8
1737965257625,3270.9
1737973473027,3271.0
1737981563427,3271.1
1737985248623,3271.2
1737993604019,3271.3
1737997114193,3271.4
1738005289595,3271.5
1738008819770,3271.6
1738016960185,3271.7
1738024540544,3271.8
1738028765757,3271.9
1738037116187,3272.0
1738040506334,3272.1
1738048851745,3272.2
1738053666990,3272.3
1738060842336,3272.4
1738069362761,3272.5
1738072917933,3272.6
1738078068183,3272.7
1738080303093,3272.8
1738081662082,3272.9
1738082588128,3273.0
1738083515174,3273.1
1738084445223,3273.2
1738085491274,3273.3
1738087241351,3273.4
1738090320026,3273.6
1738091326072,3273.7
1738092335120,3273.8
1738093675117,3273.9
1738095743212,3274.0
1738098163331,3274.1
1738099852412,3274.2
1738101628497,3274.3
1738103401583,3274.4
1738105962706,3274.5
1738109125857,3274.6
1738110876944,3274.7
1738111764827,3274.8
1738111769825,3274.9
1738111839828,3275.0
1738111909832,3275.1
1738111979835,3275.2
1738113220890,3275.3
1738114350948,3275.4
1738115275001,3275.5
1738116323045,3275.6
1738117503102,3275.7
1738118581157,3275.8
1738119653202,3275.9
1738120806264,3276.0
1738122036332,3276.1
1738124659444,3276.2
1738127445579,3276.3
1738129155660,3276.4
1738130928746,3276.5
1738132732831,3276.6
1738134916934,3276.7
1738138128098,3276.8
1738139938176,3276.9
1738141525256,3277.0
1738143147327,3277.1
1738145136422,3277.2
1738147998560,3277.3
1738150264676,3277.4
1738151824744,3277.5
1738153434821,3277.6
